"N","p1","delta","est","s.e.","QL","QU","index"
550,0.4,0.125,-0.60986667855073,0.188820260011796,-0.988806480904544,-0.234313112086085,8
650,0.4,0.125,-0.498968279089628,0.166139341414386,-0.830120157902702,-0.192967450774054,8
750,0.4,0.125,-0.507011110128455,0.161027296789255,-0.826476139048635,-0.192514808030447,8
350,0.4,0.15,-0.602811076121201,0.233422967333089,-1.05721052012738,-0.165024030716833,8
450,0.4,0.15,-0.404933857054943,0.20451110556294,-0.810028866520439,-0.00442640777419975,8
550,0.4,0.15,-0.367785687157953,0.180176954967128,-0.724823800442246,-0.0164579877154339,8
650,0.4,0.15,-0.486695558036212,0.175063213830102,-0.830627107398987,-0.142295304797914,8
750,0.4,0.15,-0.82632744385302,0.155151236150642,-1.13526653258215,-0.52599586325698,8
350,0.4,0.05,0.00734509760024845,0.225239505524464,-0.431702319355365,0.444350793656495,9
450,0.4,0.05,0.0174813719150432,0.189480089038525,-0.362330717833576,0.38117324571573,9
550,0.4,0.05,0.217889919227538,0.176400110585128,-0.133172637936257,0.559627682046375,9
650,0.4,0.05,-0.12461467615244,0.164394961220681,-0.445551472816236,0.193750819503441,9
750,0.4,0.05,-0.279443184294004,0.15184403434441,-0.580114243591666,0.0151431502962119,9
350,0.4,0.075,-0.425251168891855,0.219765444465438,-0.85483247416766,0.0161622517935351,9
450,0.4,0.075,-0.553633441329881,0.19889676684571,-0.948656474429875,-0.168638857236908,9
550,0.4,0.075,-0.14551718325109,0.17933262736704,-0.494721680916622,0.211585936157158,9
650,0.4,0.075,-0.634041038445681,0.165090848483988,-0.952373174859975,-0.309834550243345,9
750,0.4,0.075,-0.0368935883103805,0.154287746975389,-0.338228997993343,0.268282622382807,9
350,0.4,0.1,-0.593108258267349,0.225930393422797,-1.03873927482527,-0.147743457429996,9
450,0.4,0.1,0.146070205783541,0.197566575899002,-0.252328380802877,0.538214340786183,9
550,0.4,0.1,-0.236759370949664,0.178649558080572,-0.592103176178778,0.114981123641769,9
650,0.4,0.1,-0.463156779097914,0.164540795471215,-0.789548275510662,-0.140343698629754,9
750,0.4,0.1,-0.301152868058857,0.159264484282481,-0.610093793762757,0.0222358016922986,9
350,0.4,0.125,-0.522845763455756,0.23642228167969,-0.987659543235919,-0.0675408378328746,9
450,0.4,0.125,-0.527078242871447,0.201001258522339,-0.91038121359402,-0.137311753755607,9
550,0.4,0.125,-0.725558154762858,0.179093899683461,-1.08310463230023,-0.374136665670082,9
650,0.4,0.125,-0.653395560136748,0.166573309871879,-0.990057227127896,-0.321587320265419,9
750,0.4,0.125,-0.657282396832549,0.153810334121161,-0.96416331909314,-0.35827540571934,9
350,0.4,0.15,-0.720446758888602,0.241782178804304,-1.17745380733008,-0.244824344792577,9
450,0.4,0.15,-0.295037045792625,0.202504523181733,-0.691370289569772,0.0968777256259574,9
550,0.4,0.15,-0.940684188935414,0.185819956687271,-1.3081835993321,-0.585935724000718,9
650,0.4,0.15,-1.10200388495976,0.178799978962908,-1.45249728364294,-0.76417391260402,9
750,0.4,0.15,-1.04695673998347,0.163624439619632,-1.3760862703893,-0.737905556038358,9
350,0.4,0.05,-0.264527967864518,0.220705572881461,-0.687578171840962,0.172917217409672,10
450,0.4,0.05,-0.410659857798082,0.19635059066979,-0.790693798956458,-0.033630539987563,10
550,0.4,0.05,-0.133477076470988,0.175581970213479,-0.474121332066979,0.206429252325859,10
650,0.4,0.05,0.0735246191706381,0.162086926904532,-0.244693616751327,0.387547253991456,10
