"N","p1","delta","est","s.e.","q025","q900","q950","q975","index"
650,0.4,0.075,-0.564435291689184,0.166150966343775,-0.874210241651297,-0.353472059535672,-0.287782340389158,-0.239560678708899,3
750,0.4,0.075,-0.259512534392206,0.146740578362395,-0.547634536258297,-0.0711667814992767,-0.0171567089477425,0.0285144773354661,3
350,0.4,0.1,0.136194461047749,0.225002076538769,-0.317391490323032,0.416938205858057,0.495711313170699,0.564311161890629,3
450,0.4,0.1,-0.318229802228489,0.202458828580298,-0.709487305401758,-0.056395426797262,0.0120827566940006,0.0735906169318766,3
550,0.4,0.1,-0.39907442785933,0.179883307640708,-0.751556838943406,-0.168150974531669,-0.101787594244821,-0.0525083419754717,3
650,0.4,0.1,-0.564868055858092,0.165858866288447,-0.885611435426329,-0.351965083202481,-0.290165907180478,-0.238763008519672,3
750,0.4,0.1,-0.430502213067404,0.155837603181012,-0.734045362331775,-0.229621517011102,-0.177145054266219,-0.12783119506867,3
350,0.4,0.125,-0.459001782280856,0.221382244722263,-0.889527119792647,-0.174754987178324,-0.098065276825669,-0.0407748177591894,3
450,0.4,0.125,-0.599183530352369,0.198203614491017,-0.989532890195181,-0.347927443762826,-0.276257893823537,-0.211755384299507,3
550,0.4,0.125,-0.528664669037862,0.183579686788739,-0.880750155140222,-0.29104090835213,-0.223078440365304,-0.163699705103786,3
650,0.4,0.125,-0.558090384206058,0.169861705744718,-0.883971817705616,-0.338506729062891,-0.273943706852349,-0.228353590683424,3
750,0.4,0.125,-0.605558650587369,0.158503268064567,-0.918525772840297,-0.398479051406263,-0.341888608917795,-0.291759537024298,3
350,0.4,0.15,-0.782169048170671,0.234106857553691,-1.23630952571976,-0.483985376361887,-0.396537972112874,-0.308758771976913,3
450,0.4,0.15,-0.764491096415126,0.199883273282574,-1.15876453645463,-0.507856504045555,-0.435713202628407,-0.379463886535046,3
550,0.4,0.15,-0.521310934815883,0.184269373746461,-0.882589714411263,-0.286620487474683,-0.224101079391408,-0.167041556860789,3
650,0.4,0.15,-0.751880043542266,0.172258937281491,-1.08820936519303,-0.531405832303093,-0.462457990437833,-0.41005716041897,3
750,0.4,0.15,-0.826320512877164,0.162116776230671,-1.14206099639623,-0.614053514004683,-0.559560941782716,-0.510793983557651,3
350,0.4,0.075,-0.402518737641474,0.232743690637315,-0.861779783244582,-0.110757715535158,-0.0218267614873201,0.0590063821869169,4
450,0.4,0.075,-0.257740423118683,0.198208588204429,-0.647660476937166,-0.00507135107675166,0.0657565594643955,0.131194002125831,4
550,0.4,0.075,-0.417349818699525,0.180297278556807,-0.769374662790883,-0.181471445263006,-0.116104940746379,-0.0622101228641166,4
650,0.4,0.075,-0.51530399012131,0.162985963927616,-0.84320025005276,-0.306948811646655,-0.250964748731277,-0.198086103825101,4
750,0.4,0.075,-0.365038243367182,0.152224759559029,-0.664892846838821,-0.168800129118074,-0.12085523826595,-0.0695071946426052,4
350,0.4,0.1,-0.507809308288691,0.231005706553835,-0.966416523330902,-0.210260091817515,-0.118459708366025,-0.0502523744235476,4
450,0.4,0.1,-0.369354786751538,0.20126186751891,-0.761318341037511,-0.115733285099484,-0.0462816191939326,0.0178887497032026,4
550,0.4,0.1,-0.423846796930593,0.181673486818802,-0.773973493562097,-0.191054720421082,-0.124151808490959,-0.0601836288628574,4
650,0.4,0.1,-0.435756887154321,0.168229920821544,-0.773939651556832,-0.225956445759885,-0.163729136543232,-0.118005083857945,4
750,0.4,0.1,-0.131608128242324,0.155355817852191,-0.435438128220619,0.0683895245384358,0.124634603240821,0.182937381693776,4
350,0.4,0.125,-0.54022036866187,0.22857176604147,-0.999947164655565,-0.250013060147068,-0.159823822384769,-0.0973068927537521,4
450,0.4,0.125,-0.742223811744817,0.211513816478434,-1.15100271882609,-0.466563486650024,-0.390188070298967,-0.319901023287679,4
550,0.4,0.125,-0.478810128642533,0.177387893850751,-0.828335537105453,-0.249804153093563,-0.186332154247115,-0.135713722333159,4
650,0.4,0.125,-0.620853494794369,0.167151578664189,-0.950519484823648,-0.404167762311002,-0.341859891780556,-0.282299893304711,4
750,0.4,0.125,-0.673293559815061,0.154753536140962,-0.974123553388787,-0.478284475944853,-0.420764412632643,-0.372332530938538,4
350,0.4,0.15,-0.767978991656329,0.238489615352545,-1.23779659598702,-0.462084540609794,-0.374498317910431,-0.297089204209217,4
