"N","p1","delta","est","s.e.","QL","QU","index"
350,0.4,0.05,-0.373891303793853,0.223027264823904,-0.813100942787644,0.0742797798787307,1
450,0.4,0.05,-0.174579006935924,0.192784761232706,-0.544193271800423,0.195428294883527,1
550,0.4,0.05,-0.411960759405705,0.180444527986545,-0.76849684471308,-0.0621190926075299,1
650,0.4,0.05,-0.111914648375589,0.160912922538017,-0.425799005461004,0.210690283728972,1
750,0.4,0.05,-0.236241957211206,0.15111056799996,-0.532455256149379,0.0465446379385723,1
350,0.4,0.075,-0.0124350138162206,0.223197339263737,-0.455458945757595,0.421992181218132,1
450,0.4,0.075,-0.423129810212953,0.201275463013176,-0.806571959707967,-0.0292816785182402,1
550,0.4,0.075,-0.0535709962227491,0.179002374584351,-0.402852222881997,0.296386091457051,1
650,0.4,0.075,-0.110927115165958,0.157543494847133,-0.420252758166575,0.198566320317153,1
750,0.4,0.075,-0.585332535532489,0.150743556738049,-0.881387153059516,-0.290352211372441,1
350,0.4,0.1,-0.123870588277831,0.222341654879134,-0.547145392957497,0.303777064189075,1
450,0.4,0.1,-0.369696613226547,0.198576435500833,-0.754040162026984,0.0140754116803864,1
550,0.4,0.1,-0.546938897698807,0.188524225714241,-0.925716971274094,-0.178658044581047,1
650,0.4,0.1,-0.483646152646589,0.167300840883761,-0.813812288339986,-0.150595166995524,1
750,0.4,0.1,-0.398614779800468,0.154371846122155,-0.70050015785906,-0.0936907309522803,1
350,0.4,0.125,-0.490559855199743,0.232318624803248,-0.953970963416609,-0.0399473530718125,1
450,0.4,0.125,-0.763528817494091,0.204903966004732,-1.17585150573773,-0.364053342613997,1
550,0.4,0.125,-0.367734641135131,0.17840709690562,-0.718589888214561,-0.00736576043915097,1
650,0.4,0.125,-0.77536127621892,0.167053728528282,-1.10264434966517,-0.447785375268151,1
750,0.4,0.125,-0.599884672881351,0.155166148768653,-0.904171870373828,-0.301236998002819,1
350,0.4,0.15,-0.379503275797066,0.23282651421933,-0.838062787456087,0.0738025648815355,1
450,0.4,0.15,-0.705186254261713,0.203391052732344,-1.09351230181822,-0.30745152711216,1
550,0.4,0.15,-0.463355617262161,0.189095883363062,-0.842088856646657,-0.104614420479867,1
650,0.4,0.15,-0.781085829677463,0.170511889097008,-1.10317847202201,-0.4463963131018,1
750,0.4,0.15,-0.625485309381849,0.159958732874758,-0.934415540778702,-0.321400674449129,1
350,0.4,0.05,-0.0827620957093107,0.226257819589072,-0.541016143274625,0.360191949612012,2
450,0.4,0.05,-0.170443222961134,0.189130907999181,-0.547700720132554,0.200064737964069,2
550,0.4,0.05,-0.214212101041145,0.169285340672857,-0.559611668853864,0.106483427141017,2
650,0.4,0.05,-0.182673700738284,0.158109003497084,-0.495905302953611,0.13143276320042,2
750,0.4,0.05,0.0644866307112168,0.153084205217472,-0.231927740041717,0.361000970855439,2
350,0.4,0.075,-0.792960006795255,0.228264631802292,-1.2349073626545,-0.333231843233301,2
450,0.4,0.075,-0.528053118001078,0.19906304038295,-0.918183133943093,-0.140579199274269,2
550,0.4,0.075,-0.387860985448141,0.175987187607915,-0.73487272476408,-0.0413180307260008,2
650,0.4,0.075,-0.250696294009039,0.165682818112743,-0.570780174347207,0.0647650038398833,2
750,0.4,0.075,0.0818702191269202,0.15115210744344,-0.217136246079776,0.372417154855965,2
350,0.4,0.1,-0.340957868720307,0.221804061159028,-0.763218419474379,0.085914799447352,2
450,0.4,0.1,-0.554073223993577,0.206155976733603,-0.96337528132515,-0.137509046273122,2
550,0.4,0.1,-0.427030338369082,0.182185946180948,-0.773567681891071,-0.0762701171981016,2
650,0.4,0.1,-0.304306074423639,0.163676695291205,-0.628445141495602,0.00681706182443876,2
750,0.4,0.1,-0.38954963144032,0.148027411808993,-0.680766101114422,-0.108665360744163,2
350,0.4,0.125,-0.734733790716401,0.229818998889002,-1.18366216506549,-0.289948243363467,2
450,0.4,0.125,-0.316179797750092,0.200405144709097,-0.722202399830619,0.0801951802127789,2
550,0.4,0.125,-0.528307037231018,0.186186003101292,-0.892624932057781,-0.154724804531712,2
650,0.4,0.125,-0.642375385472923,0.173765788147738,-0.978871315986292,-0.305347713536033,2
750,0.4,0.125,-0.571342837143533,0.158928850813772,-0.887728315357583,-0.26476772862065,2
