"N","p1","delta","est","s.e.","q025","q900","q950","q975","index"
350,0.4,0.125,-0.661334053127141,0.228586855260282,-1.10583809304493,-0.369677518140577,-0.284056593514301,-0.224224765611056,2
450,0.4,0.125,-0.540930042258416,0.198121709772284,-0.9307732639068,-0.284222818518632,-0.214331131527591,-0.162557694673648,2
550,0.4,0.125,-0.368433554661394,0.18622209574584,-0.740521445334135,-0.132992009939549,-0.0639283584821166,-0.00835517694414874,2
650,0.4,0.125,-0.787932048417307,0.175715115456866,-1.1321236225692,-0.563032687743097,-0.503901033281118,-0.443733594736428,2
750,0.4,0.125,-0.444417841196223,0.15744754404955,-0.755436479562248,-0.241094293666092,-0.191834747757412,-0.137970147146468,2
350,0.4,0.15,-1.02981700518639,0.234708801005599,-1.49670988205889,-0.727899634613934,-0.641632144153543,-0.576926299062999,2
450,0.4,0.15,-0.536681120415014,0.209634114849464,-0.946919734908967,-0.263039142057931,-0.194662459513001,-0.129787977113338,2
550,0.4,0.15,-0.494846393684984,0.190867426699902,-0.87738455080587,-0.247027955056444,-0.186486472160036,-0.12281600828509,2
650,0.4,0.15,-0.786623105805173,0.167288824793764,-1.10793845421099,-0.56724513085133,-0.503709184368125,-0.461987782937032,2
750,0.4,0.15,-0.792740322352594,0.159852972977957,-1.10268703905546,-0.592094918393673,-0.534006349386927,-0.477083735283611,2
350,0.4,0.075,-0.18525137427018,0.228722192583208,-0.64017595620146,0.104372366257162,0.190016486877147,0.27580731352231,3
450,0.4,0.075,-0.465588808843884,0.190031947169206,-0.836420159424805,-0.225430756431507,-0.166791031246254,-0.101359226021114,3
550,0.4,0.075,-0.233961101528744,0.179832185637122,-0.587238248474001,-0.0023634091565966,0.0671641572910567,0.121990985389347,3
650,0.4,0.075,-0.225527661937805,0.160209454748147,-0.539591274727955,-0.0248051706766839,0.0351701767569156,0.0878236437909612,3
750,0.4,0.075,-0.357679179897801,0.155036474637899,-0.668946393397491,-0.161458934673062,-0.108349173712785,-0.0553398524875727,3
350,0.4,0.1,-0.598502815318976,0.219698897363018,-1.0390926142016,-0.316943561029104,-0.237867524198074,-0.16792246301772,3
450,0.4,0.1,-0.455098077576244,0.194350869105713,-0.835507966038155,-0.201334187067094,-0.12738253787315,-0.0647827915209387,3
550,0.4,0.1,-0.511903510414921,0.180170317735681,-0.861136452833803,-0.281312567266736,-0.215408894247933,-0.163198146408132,3
650,0.4,0.1,-0.366165852128562,0.167921709701781,-0.705792395510686,-0.149856255465138,-0.0961916167170473,-0.0383017878821637,3
750,0.4,0.1,-0.389954768524849,0.156907288342333,-0.693298216007753,-0.185870749384752,-0.129334020513551,-0.0865457735253936,3
350,0.4,0.125,-0.831220100117713,0.236840828383696,-1.30283208663349,-0.534640039904445,-0.449925038277837,-0.364385415850035,3
450,0.4,0.125,-0.737254331244396,0.208828600440561,-1.14704391015184,-0.465783230044446,-0.389585934546021,-0.338237097237325,3
550,0.4,0.125,-0.431466105030907,0.185950538618774,-0.79771556705556,-0.200145028462162,-0.124829425668267,-0.05898612831665,3
650,0.4,0.125,-0.72892602215162,0.172986440819863,-1.06549577112896,-0.506890350193003,-0.44152864781179,-0.397049896760833,3
750,0.4,0.125,-0.655782654802251,0.156540092501684,-0.962265577285608,-0.455663769157687,-0.403902487147097,-0.35511722631932,3
350,0.4,0.15,-0.530771582377986,0.22622025950494,-0.979601126458413,-0.243139696873139,-0.160339819618741,-0.0894332824723359,3
450,0.4,0.15,-0.873229393085029,0.209539036665218,-1.28966506621272,-0.603400843852047,-0.531458256849674,-0.468983439802666,3
550,0.4,0.15,-1.03273869770485,0.202016418118528,-1.43348541141738,-0.771740352910079,-0.702307655887698,-0.641909436797466,3
650,0.4,0.15,-0.636526207358752,0.182049051708737,-0.993225780112759,-0.404567455279944,-0.338252874228382,-0.282980467358242,3
750,0.4,0.15,-0.881338343896454,0.161792545502917,-1.20983047811994,-0.6779334570375,-0.61943100629027,-0.556718864038559,3
350,0.4,0.075,-0.625956074703519,0.229376363883408,-1.08296232022075,-0.329552716338193,-0.254844107921968,-0.188801854093524,4
450,0.4,0.075,-0.605555353392686,0.197061554222524,-0.998989229404675,-0.350475399151554,-0.280458988700047,-0.22284632764421,4
550,0.4,0.075,-0.371764205469925,0.174182491758885,-0.710170352977771,-0.145263210221662,-0.0881381942380177,-0.0300715061938299,4
650,0.4,0.075,-0.196807545048061,0.158562866355794,-0.508016073122204,0.00602886993261412,0.0612255374691716,0.107547601707079,4
750,0.4,0.075,-0.256059272880402,0.150524650782423,-0.557311690186955,-0.0599614478502689,-0.00981749050385531,0.043341884671378,4
