"N","p1","delta","est","s.e.","QL","QU","index"
350,0.1,0.05,-0.901982592571066,0.441178558657562,-1.76177413295163,-0.0728073522379018,1
450,0.1,0.05,-1.2482568155521,0.406386656494565,-2.09193061986283,-0.482465825204773,1
550,0.1,0.05,-0.596785040143657,0.356540237819327,-1.31035867099289,0.0823679731856263,1
650,0.1,0.05,-0.79847270242055,0.340265266134384,-1.46781077132433,-0.123975264080252,1
750,0.1,0.05,-0.687067333356589,0.284595195740627,-1.25416181040633,-0.142082558468851,1
350,0.2,0.05,-0.329828778566867,0.292137492396242,-0.919126935515733,0.221706719194067,1
450,0.2,0.05,-0.471123428145888,0.254899929728155,-0.98204111863037,0.0280236551712734,1
550,0.2,0.05,-0.0881903035292853,0.240697044862549,-0.570615399783278,0.377379985669333,1
650,0.2,0.05,-0.660493412587352,0.209378855018323,-1.05362362446155,-0.256114377926857,1
750,0.2,0.05,-0.374011189260832,0.18950335543261,-0.749684793787933,-0.0125320758580467,1
350,0.3,0.05,0.224530382119469,0.235039862063698,-0.228439268940929,0.682127847961895,1
450,0.3,0.05,-0.18998815074993,0.208202571439319,-0.615816484252355,0.214185618181781,1
550,0.3,0.05,-0.402829737796567,0.192467809288462,-0.770797905250381,-0.0212111286236859,1
650,0.3,0.05,0.0090401444059941,0.176856529130394,-0.32894654748271,0.350509866705825,1
750,0.3,0.05,-0.40665883835345,0.177187001765563,-0.757722742603449,-0.0726941212285106,1
350,0.4,0.05,-0.0238250936573972,0.214276480654514,-0.437025938763544,0.393179908777204,1
450,0.4,0.05,-0.178907904327254,0.200574925280297,-0.564569055685446,0.211234554538897,1
550,0.4,0.05,-0.00428899723827606,0.180631844662903,-0.35884160461883,0.347368332307832,1
650,0.4,0.05,-0.226888410432395,0.162295537124833,-0.55839612444945,0.0986983974774931,1
750,0.4,0.05,-0.38627406802189,0.152976663254007,-0.686517561340576,-0.0962809157803702,1
350,0.5,0.05,0.0236293697941113,0.217251610838282,-0.403442528058396,0.448209032651565,1
450,0.5,0.05,-0.310933611785958,0.193898967112852,-0.692375999478501,0.0660275162438278,1
550,0.5,0.05,-0.131816643436154,0.169575900039546,-0.46117676999023,0.202522157956414,1
650,0.5,0.05,-0.352191553427691,0.15386464291769,-0.647768763806095,-0.0499225310428334,1
750,0.5,0.05,-0.234167423652027,0.144608250648786,-0.521130729257464,0.048447012468937,1
350,0.1,0.075,-1.25246411812194,0.563254642995263,-2.4579481681405,-0.217805105800703,1
450,0.1,0.075,-1.26466515196749,0.498630998224012,-2.27837837405397,-0.351605787649195,1
550,0.1,0.075,-1.76539252831434,0.505824670646127,-2.83230028642683,-0.838500222047703,1
650,0.1,0.075,-1.3059837070138,0.390479462642312,-2.10873723724342,-0.580112820329435,1
750,0.1,0.075,-2.22925227490034,0.508168513627072,-3.37151951609354,-1.32989335328989,1
350,0.2,0.075,-0.386878601862287,0.293534693191882,-0.964805627224883,0.194948147839748,1
450,0.2,0.075,-0.5522263420851,0.256082630645595,-1.07193827146305,-0.0541476092742866,1
550,0.2,0.075,0.0671081455740488,0.224819485948074,-0.364201955264314,0.498293232483296,1
650,0.2,0.075,-0.392584284509134,0.223436764970326,-0.831227328312798,0.0426585300937603,1
750,0.2,0.075,-0.614034379680761,0.221501619996962,-1.06025814219643,-0.185720718850323,1
350,0.3,0.075,-0.550665072467082,0.25077553687775,-1.04486672471715,-0.0624256802065147,1
450,0.3,0.075,-0.451329413626996,0.218038291137138,-0.867557185216044,-0.0140425971278421,1
