"N","p1","delta","est","s.e.","QL","QU","index"
750,0.5,0.075,-0.492451841928416,0.14595251281732,-0.784650719327683,-0.213711804569979,1
350,0.1,0.1,-6.31753212032061,3.57698142576477,-15.9954622533589,-1.99936742014504,1
450,0.1,0.1,-7.00933573977224,3.56228315278448,-16.9310666032517,-2.76183793016917,1
550,0.1,0.1,-6.78205468281685,3.05753967717929,-15.1210739748487,-2.88045704827906,1
650,0.1,0.1,-6.90940144725272,3.41077109818185,-15.3245763781373,-2.60226680724005,1
750,0.1,0.1,-7.37715649336559,3.41919837152651,-15.8824431172314,-3.21031754810547,1
350,0.2,0.1,-1.37494946527288,0.335970937542003,-2.06206622205119,-0.757882491010767,1
450,0.2,0.1,-1.13471776386467,0.281251174103717,-1.70530834548467,-0.590709963191828,1
550,0.2,0.1,-1.07767005931298,0.259575883385561,-1.59605260258569,-0.574580114838843,1
650,0.2,0.1,-1.26603918342637,0.258446308922231,-1.79294839619533,-0.779403019849727,1
750,0.2,0.1,-0.719006573929165,0.207752866763747,-1.13816849492688,-0.326052089693725,1
350,0.3,0.1,-0.444453630970156,0.24807180587822,-0.943947384749783,0.0203030401558769,1
450,0.3,0.1,-0.670047296021846,0.234379449173854,-1.141620770087,-0.214783614441808,1
550,0.3,0.1,-0.228530859007175,0.192177153942377,-0.612057152183537,0.149469923259438,1
650,0.3,0.1,-0.734802387868584,0.186332413516847,-1.10104332317529,-0.371142709799579,1
750,0.3,0.1,-0.445629626825027,0.169797441674474,-0.783851781757872,-0.11892198179112,1
350,0.4,0.1,-0.309267616297779,0.224953491819161,-0.747425437623429,0.133249456783907,1
450,0.4,0.1,-0.431809747884112,0.200036674762389,-0.822030977560345,-0.0387045861334753,1
550,0.4,0.1,-0.437631592524867,0.181985818690776,-0.798173719453523,-0.073558291865991,1
650,0.4,0.1,-0.451277722942369,0.168766181553134,-0.784261316952616,-0.127668040648173,1
750,0.4,0.1,-0.211045102867293,0.158818716098717,-0.518629946811698,0.100335108017367,1
350,0.5,0.1,-0.154924762479246,0.21449554320416,-0.588038977649651,0.258380992578901,1
450,0.5,0.1,-0.511140336012565,0.190577347024522,-0.886641767833651,-0.139738848245104,1
550,0.5,0.1,-0.418553887980081,0.173735184023593,-0.768927024569491,-0.0837057779054046,1
650,0.5,0.1,-0.564589777849422,0.155901359309143,-0.86716834205947,-0.269358789916204,1
750,0.5,0.1,-0.484627212635894,0.148318784909501,-0.773739984235962,-0.200471771297692,1
350,0.1,0.125,-0.147181873453903,10.0147687319443,-19.7077460472916,19.2464952448368,1
450,0.1,0.125,-0.178202652670366,9.96065634170555,-19.5594780113707,19.2132746934698,1
550,0.1,0.125,0.0917082720337687,10.2550768642411,-19.3576432317332,20.1712487087892,1
650,0.1,0.125,0.144128147534567,10.2697759459536,-20.4036324038509,20.2421729867473,1
750,0.1,0.125,0.193689514981156,10.1623571440194,-19.4019297372951,19.5937670637884,1
350,0.2,0.125,-1.20471275084902,0.371299680612389,-1.95194116424195,-0.496587324133442,1
450,0.2,0.125,-1.31605405864876,0.336385617207845,-1.98334978330959,-0.689718373829798,1
550,0.2,0.125,-0.946440016489867,0.267970359462793,-1.48751831367916,-0.415216192302547,1
650,0.2,0.125,-1.28414306608516,0.276331180948625,-1.848267807494,-0.751157589715362,1
750,0.2,0.125,-1.53696099220773,0.249838491197691,-2.04026070624178,-1.04895737439775,1
350,0.3,0.125,-0.856618742518277,0.24605273587714,-1.32724736479639,-0.376261583657302,1
450,0.3,0.125,-0.751259447971937,0.226462876271018,-1.21648095103665,-0.31772636978701,1
550,0.3,0.125,-0.452371608120377,0.204807228159005,-0.848977138594966,-0.0600158362324673,1
650,0.3,0.125,-1.12734678362197,0.197441220582236,-1.51152080151799,-0.748328095186006,1
750,0.3,0.125,-0.788011403565681,0.177803403630886,-1.14573018254702,-0.442405842340908,1
350,0.4,0.125,-1.07297675446474,0.240762547436922,-1.55436372025195,-0.609926074565062,1
450,0.4,0.125,-0.900596893805824,0.20839070034044,-1.2934443878877,-0.494496197039178,1
550,0.4,0.125,-0.81788467009289,0.18654160110437,-1.18941591824339,-0.453354589386847,1
650,0.4,0.125,-0.725364852449657,0.164690429596193,-1.05189809502311,-0.417502948579394,1
750,0.4,0.125,-0.533013643584117,0.157081252721021,-0.84227369394715,-0.226705972350771,1
350,0.5,0.125,-0.547108606362982,0.216199434643003,-0.968666558428634,-0.127070597213555,1
450,0.5,0.125,-0.471031686456844,0.189602504456143,-0.842473502890523,-0.0976293106100218,1
550,0.5,0.125,-0.540902184013778,0.175101194530765,-0.891682696029808,-0.205627114116501,1
650,0.5,0.125,-0.260161925444829,0.158598420140145,-0.575178793740239,0.0431260954889622,1
750,0.5,0.125,-0.74988252384538,0.150602089123069,-1.05176678072989,-0.45569780217596,1
350,0.1,0.15,-0.364896868451715,10.0146542744307,-19.8104179347839,19.2598718378118,1
450,0.1,0.15,0.155923178901661,9.81403966268097,-18.8750249232913,19.4363347116783,1
550,0.1,0.15,-0.00146895737692722,9.9668574956615,-19.4882071334065,19.5852805740462,1
650,0.1,0.15,0.119128693280001,10.0455637113654,-19.5355750093118,20.2241718579243,1
750,0.1,0.15,-0.126660632450303,10.0620077621623,-19.7706236590804,18.9693841334081,1
350,0.2,0.15,-1.38106768144422,0.401568197371323,-2.19674409190909,-0.616287582161332,1
450,0.2,0.15,-2.22047654424078,0.415067960959752,-3.04342770965298,-1.43638691834618,1
550,0.2,0.15,-1.7012026777003,0.306310420825704,-2.32772824656184,-1.12059065475669,1
650,0.2,0.15,-1.66359317062751,0.29699008000912,-2.26079970458118,-1.09914592969737,1
750,0.2,0.15,-2.0631769365605,0.327087201160247,-2.7378830569469,-1.44091027196734,1
350,0.3,0.15,-0.620838694885895,0.26819825262905,-1.14911223339131,-0.0993215367669586,1
450,0.3,0.15,-1.05189895987672,0.242406316299206,-1.53238417464209,-0.592676074771655,1
550,0.3,0.15,-0.608152347388672,0.202484751036425,-1.00780859665139,-0.212445822182587,1
650,0.3,0.15,-1.04101799632882,0.19831663426317,-1.44589399040352,-0.661805793730281,1
750,0.3,0.15,-0.928271613836936,0.191113271350278,-1.31139440830409,-0.562790491606269,1
350,0.4,0.15,-0.435409531176779,0.232665636067233,-0.894806594047442,0.0214539367502553,1
450,0.4,0.15,-0.530161989883495,0.210296125845019,-0.939057547590429,-0.113650377802784,1
550,0.4,0.15,-0.521250090860815,0.187001838911835,-0.88036998140486,-0.157421596415361,1
650,0.4,0.15,-0.939148656303089,0.178332671064621,-1.2857629278179,-0.58750079281432,1
750,0.4,0.15,-0.954578254197108,0.162662489452529,-1.27848485927348,-0.646179119233398,1
350,0.5,0.15,-1.24321236444998,0.225076981395835,-1.68859892221815,-0.801418126898601,1
450,0.5,0.15,-0.55447266170222,0.196322524229415,-0.937883905328411,-0.156902764063685,1
550,0.5,0.15,-0.235766061881095,0.173425786970045,-0.582230435527799,0.112605936022185,1
650,0.5,0.15,-0.542098453542274,0.15515979854732,-0.844348053156967,-0.240404060018875,1
750,0.5,0.15,-0.598156130827234,0.145910905993816,-0.885842974080992,-0.325250703956709,1
350,0.1,0.05,-0.269738065821587,0.40708781404059,-1.07014054253602,0.524269907484097,2
450,0.1,0.05,-1.56183665943622,0.439973977204469,-2.48795188025448,-0.77151702601181,2
550,0.1,0.05,-0.780775659939817,0.346069771702846,-1.48901020022948,-0.144635185025174,2
650,0.1,0.05,-0.190287102695878,0.298189716448321,-0.79226603539344,0.385196889378025,2
750,0.1,0.05,-0.504559518412823,0.264433427466421,-1.02766097856373,-0.00149289925208932,2
350,0.2,0.05,-0.21352319999551,0.281426115336996,-0.785541095506986,0.323757310256076,2
450,0.2,0.05,-0.684593103417097,0.264092113024982,-1.22746536269535,-0.17717151375638,2
550,0.2,0.05,-0.710996970129617,0.231210691161243,-1.17488704837812,-0.266999039227825,2
650,0.2,0.05,-0.415610177551894,0.210304922785792,-0.844056109059284,0.00248639195213622,2
